statement,label,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Yekaterinburg is in Russia and that the city of Seattle is in China.,0,The city of Yekaterinburg is in Russia.,1,Yekaterinburg,Russian Federation,Russian Federation,The city of Seattle is in China.,0,Seattle,China,United States
It is the case both that the city of Tianshui is in China and that the city of Krakow is in Nigeria.,0,The city of Tianshui is in China.,1,Tianshui,China,China,The city of Krakow is in Nigeria.,0,Krakow,Nigeria,Poland
It is the case both that the city of Kyiv is in Ukraine and that the city of Tlalpan is in China.,0,The city of Kyiv is in Ukraine.,1,Kyiv,Ukraine,Ukraine,The city of Tlalpan is in China.,0,Tlalpan,China,Mexico
It is the case both that the city of Bekasi is in Indonesia and that the city of Guigang is in Indonesia.,0,The city of Bekasi is in Indonesia.,1,Bekasi,Indonesia,Indonesia,The city of Guigang is in Indonesia.,0,Guigang,Indonesia,China
It is the case both that the city of Serang is in Indonesia and that the city of Matsuyama is in China.,0,The city of Serang is in Indonesia.,1,Serang,Indonesia,Indonesia,The city of Matsuyama is in China.,0,Matsuyama,China,Japan
It is the case both that the city of Huaibei is in China and that the city of Kotli is in Mexico.,0,The city of Huaibei is in China.,1,Huaibei,China,China,The city of Kotli is in Mexico.,0,Kotli,Mexico,Pakistan
It is the case both that the city of Nanchong is in China and that the city of Rostov-na-Donu is in China.,0,The city of Nanchong is in China.,1,Nanchong,China,China,The city of Rostov-na-Donu is in China.,0,Rostov-na-Donu,China,Russian Federation
It is the case both that the city of Sendai is in Japan and that the city of Beirut is in Japan.,0,The city of Sendai is in Japan.,1,Sendai,Japan,Japan,The city of Beirut is in Japan.,0,Beirut,Japan,Lebanon
It is the case both that the city of Beira is in Mozambique and that the city of Yongzhou is in Iran.,0,The city of Beira is in Mozambique.,1,Beira,Mozambique,Mozambique,The city of Yongzhou is in Iran.,0,Yongzhou,"Iran, Islamic Rep. of",China
It is the case both that the city of Karaj is in Iran and that the city of Johor Bahru is in Japan.,0,The city of Karaj is in Iran.,1,Karaj,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Johor Bahru is in Japan.,0,Johor Bahru,Japan,Malaysia
It is the case both that the city of Yaroslavl is in Russia and that the city of Nuernberg is in Chad.,0,The city of Yaroslavl is in Russia.,1,Yaroslavl,Russian Federation,Russian Federation,The city of Nuernberg is in Chad.,0,Nuernberg,Chad,Germany
It is the case both that the city of Yingkou is in China and that the city of Chongqing is in Brazil.,0,The city of Yingkou is in China.,1,Yingkou,China,China,The city of Chongqing is in Brazil.,0,Chongqing,Brazil,China
It is the case both that the city of Grosszschocher is in Germany and that the city of Aracaju is in Cuba.,0,The city of Grosszschocher is in Germany.,1,Grosszschocher,Germany,Germany,The city of Aracaju is in Cuba.,0,Aracaju,Cuba,Brazil
It is the case both that the city of Uberlandia is in Brazil and that the city of Voronezh is in Poland.,0,The city of Uberlandia is in Brazil.,1,Uberlandia,Brazil,Brazil,The city of Voronezh is in Poland.,0,Voronezh,Poland,Russian Federation
It is the case both that the city of Cebu City is in the Philippines and that the city of Kaifeng is in Cameroon.,0,The city of Cebu City is in the Philippines.,1,Cebu City,Philippines,Philippines,The city of Kaifeng is in Cameroon.,0,Kaifeng,Cameroon,China
It is the case both that the city of Nairobi is in Kenya and that the city of Mbuji-Mayi is in Ukraine.,0,The city of Nairobi is in Kenya.,1,Nairobi,Kenya,Kenya,The city of Mbuji-Mayi is in Ukraine.,0,Mbuji-Mayi,Ukraine,"Congo, Democratic Republic of the"
It is the case both that the city of Bareilly is in India and that the city of Izhevsk is in Brazil.,0,The city of Bareilly is in India.,1,Bareilly,India,India,The city of Izhevsk is in Brazil.,0,Izhevsk,Brazil,Russian Federation
It is the case both that the city of Nowrangapur is in India and that the city of Antalya is in Italy.,0,The city of Nowrangapur is in India.,1,Nowrangapur,India,India,The city of Antalya is in Italy.,0,Antalya,Italy,Turkey
It is the case both that the city of Las Pinas is in the Philippines and that the city of Wuzhou is in India.,0,The city of Las Pinas is in the Philippines.,1,Las Pinas,Philippines,Philippines,The city of Wuzhou is in India.,0,Wuzhou,India,China
It is the case both that the city of Kleinzschocher is in Germany and that the city of Juiz de Fora is in Jordan.,0,The city of Kleinzschocher is in Germany.,1,Kleinzschocher,Germany,Germany,The city of Juiz de Fora is in Jordan.,0,Juiz de Fora,Jordan,Brazil
It is the case both that the city of Cangzhou is in China and that the city of Karachi is in South Korea.,0,The city of Cangzhou is in China.,1,Cangzhou,China,China,The city of Karachi is in South Korea.,0,Karachi,"Korea, Republic of",Pakistan
It is the case both that the city of Da Nang is in Vietnam and that the city of Jamshedpur is in Madagascar.,0,The city of Da Nang is in Vietnam.,1,Da Nang,Viet Nam,Viet Nam,The city of Jamshedpur is in Madagascar.,0,Jamshedpur,Madagascar,India
It is the case both that the city of Phnom Penh is in Cambodia and that the city of Baghdad is in Malaysia.,0,The city of Phnom Penh is in Cambodia.,1,Phnom Penh,Cambodia,Cambodia,The city of Baghdad is in Malaysia.,0,Baghdad,Malaysia,Iraq
It is the case both that the city of Shangrao is in China and that the city of Guangzhou is in India.,0,The city of Shangrao is in China.,1,Shangrao,China,China,The city of Guangzhou is in India.,0,Guangzhou,India,China
It is the case both that the city of Maturin is in Venezuela and that the city of Kathmandu is in Iran.,0,The city of Maturin is in Venezuela.,1,Maturin,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of",The city of Kathmandu is in Iran.,0,Kathmandu,"Iran, Islamic Rep. of",Nepal
It is the case both that the city of Maracaibo is in Venezuela and that the city of Zapopan is in China.,0,The city of Maracaibo is in Venezuela.,1,Maracaibo,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of",The city of Zapopan is in China.,0,Zapopan,China,Mexico
It is the case both that the city of Minsk is in Belarus and that the city of Konya is in Saudi Arabia.,0,The city of Minsk is in Belarus.,1,Minsk,Belarus,Belarus,The city of Konya is in Saudi Arabia.,0,Konya,Saudi Arabia,Turkey
It is the case both that the city of Antananarivo is in Madagascar and that the city of Guang'an is in the United States.,0,The city of Antananarivo is in Madagascar.,1,Antananarivo,Madagascar,Madagascar,The city of Guang'an is in the United States.,0,Guang'an,United States,China
It is the case both that the city of Bahcelievler is in Turkey and that the city of Munich is in Mexico.,0,The city of Bahcelievler is in Turkey.,1,Bahcelievler,Turkey,Turkey,The city of Munich is in Mexico.,0,Munich,Mexico,Germany
It is the case both that the city of Chelyabinsk is in Russia and that the city of Makhachkala is in Mali.,0,The city of Chelyabinsk is in Russia.,1,Chelyabinsk,Russian Federation,Russian Federation,The city of Makhachkala is in Mali.,0,Makhachkala,Mali,Russian Federation
It is the case both that the city of Arak is in Iran and that the city of Abu Ghurayb is in China.,0,The city of Arak is in Iran.,1,Arak,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Abu Ghurayb is in China.,0,Abu Ghurayb,China,Iraq
It is the case both that the city of Jaboatao dos Guararapes is in Brazil and that the city of Guayaquil is in India.,0,The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil,The city of Guayaquil is in India.,0,Guayaquil,India,Ecuador
It is the case both that the city of Bhayandar is in India and that the city of Queens is in Jordan.,0,The city of Bhayandar is in India.,1,Bhayandar,India,India,The city of Queens is in Jordan.,0,Queens,Jordan,United States
It is the case both that the city of Duque de Caxias is in Brazil and that the city of Koeln is in Mexico.,0,The city of Duque de Caxias is in Brazil.,1,Duque de Caxias,Brazil,Brazil,The city of Koeln is in Mexico.,0,Koeln,Mexico,Germany
It is the case both that the city of Ha'il is in Saudi Arabia and that the city of Astrakhan is in Saudi Arabia.,0,The city of Ha'il is in Saudi Arabia.,1,Ha'il,Saudi Arabia,Saudi Arabia,The city of Astrakhan is in Saudi Arabia.,0,Astrakhan,Saudi Arabia,Russian Federation
It is the case both that the city of Pingliang is in China and that the city of Ciudad Guayana is in India.,0,The city of Pingliang is in China.,1,Pingliang,China,China,The city of Ciudad Guayana is in India.,0,Ciudad Guayana,India,"Venezuela, Bolivarian Rep. of"
It is the case both that the city of Luohe is in China and that the city of Shenyang is in Russia.,0,The city of Luohe is in China.,1,Luohe,China,China,The city of Shenyang is in Russia.,0,Shenyang,Russian Federation,China
It is the case both that the city of Victoria de Durango is in Mexico and that the city of Eskisehir is in South Korea.,0,The city of Victoria de Durango is in Mexico.,1,Victoria de Durango,Mexico,Mexico,The city of Eskisehir is in South Korea.,0,Eskisehir,"Korea, Republic of",Turkey
It is the case both that the city of Abu Dhabi is in the United Arab Emirates and that the city of Weifang is in Vietnam.,0,The city of Abu Dhabi is in the United Arab Emirates.,1,Abu Dhabi,United Arab Emirates,United Arab Emirates,The city of Weifang is in Vietnam.,0,Weifang,Viet Nam,China
It is the case both that the city of Pingliang is in China and that the city of Shivaji Nagar is in China.,0,The city of Pingliang is in China.,1,Pingliang,China,China,The city of Shivaji Nagar is in China.,0,Shivaji Nagar,China,India
It is the case both that the city of Salta is in Argentina and that the city of Nanning is in the United States.,0,The city of Salta is in Argentina.,1,Salta,Argentina,Argentina,The city of Nanning is in the United States.,0,Nanning,United States,China
It is the case both that the city of Recife is in Brazil and that the city of Zibo is in India.,0,The city of Recife is in Brazil.,1,Recife,Brazil,Brazil,The city of Zibo is in India.,0,Zibo,India,China
It is the case both that the city of Johor Bahru is in Malaysia and that the city of Rourkela is in Mauritania.,0,The city of Johor Bahru is in Malaysia.,1,Johor Bahru,Malaysia,Malaysia,The city of Rourkela is in Mauritania.,0,Rourkela,Mauritania,India
It is the case both that the city of Santo Domingo Oeste is in the Dominican Republic and that the city of Jieyang is in Kazakhstan.,0,The city of Santo Domingo Oeste is in the Dominican Republic.,1,Santo Domingo Oeste,Dominican Republic,Dominican Republic,The city of Jieyang is in Kazakhstan.,0,Jieyang,Kazakhstan,China
It is the case both that the city of Mumbai is in India and that the city of Guankou is in Saudi Arabia.,0,The city of Mumbai is in India.,1,Mumbai,India,India,The city of Guankou is in Saudi Arabia.,0,Guankou,Saudi Arabia,China
It is the case both that the city of Jaboatao dos Guararapes is in Brazil and that the city of Ha'il is in Venezuela.,0,The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil,The city of Ha'il is in Venezuela.,0,Ha'il,"Venezuela, Bolivarian Rep. of",Saudi Arabia
It is the case both that the city of Muscat is in Oman and that the city of Fort Worth is in Malaysia.,0,The city of Muscat is in Oman.,1,Muscat,Oman,Oman,The city of Fort Worth is in Malaysia.,0,Fort Worth,Malaysia,United States
It is the case both that the city of Zunyi is in China and that the city of Agadir is in Japan.,0,The city of Zunyi is in China.,1,Zunyi,China,China,The city of Agadir is in Japan.,0,Agadir,Japan,Morocco
It is the case both that the city of Maoming is in China and that the city of Gwalior is in South Korea.,0,The city of Maoming is in China.,1,Maoming,China,China,The city of Gwalior is in South Korea.,0,Gwalior,"Korea, Republic of",India
It is the case both that the city of Sendai is in Japan and that the city of Kano is in Belarus.,0,The city of Sendai is in Japan.,1,Sendai,Japan,Japan,The city of Kano is in Belarus.,0,Kano,Belarus,Nigeria
It is the case both that the city of Bulawayo is in Zimbabwe and that the city of Xuchang is in Italy.,0,The city of Bulawayo is in Zimbabwe.,1,Bulawayo,Zimbabwe,Zimbabwe,The city of Xuchang is in Italy.,0,Xuchang,Italy,China
It is the case both that the city of Bijie is in China and that the city of Suez is in Saudi Arabia.,0,The city of Bijie is in China.,1,Bijie,China,China,The city of Suez is in Saudi Arabia.,0,Suez,Saudi Arabia,Egypt
It is the case both that the city of Malang is in Indonesia and that the city of Sevastopol is in India.,0,The city of Malang is in Indonesia.,1,Malang,Indonesia,Indonesia,The city of Sevastopol is in India.,0,Sevastopol,India,Ukraine
It is the case both that the city of Kryvyy Rih is in Ukraine and that the city of Sokoto is in Canada.,0,The city of Kryvyy Rih is in Ukraine.,1,Kryvyy Rih,Ukraine,Ukraine,The city of Sokoto is in Canada.,0,Sokoto,Canada,Nigeria
It is the case both that the city of Najafgarh is in India and that the city of Bucharest is in Malaysia.,0,The city of Najafgarh is in India.,1,Najafgarh,India,India,The city of Bucharest is in Malaysia.,0,Bucharest,Malaysia,Romania
It is the case both that the city of Zagreb is in Croatia and that the city of Kano is in Belarus.,0,The city of Zagreb is in Croatia.,1,Zagreb,Croatia,Croatia,The city of Kano is in Belarus.,0,Kano,Belarus,Nigeria
It is the case both that the city of Nanded is in India and that the city of Grosszschocher is in China.,0,The city of Nanded is in India.,1,Nanded,India,India,The city of Grosszschocher is in China.,0,Grosszschocher,China,Germany
It is the case both that the city of Accra is in Ghana and that the city of Novosibirsk is in China.,0,The city of Accra is in Ghana.,1,Accra,Ghana,Ghana,The city of Novosibirsk is in China.,0,Novosibirsk,China,Russian Federation
It is the case both that the city of Las Pinas is in the Philippines and that the city of Tembisa is in India.,0,The city of Las Pinas is in the Philippines.,1,Las Pinas,Philippines,Philippines,The city of Tembisa is in India.,0,Tembisa,India,South Africa
It is the case both that the city of Vilnius is in Lithuania and that the city of Tembisa is in India.,0,The city of Vilnius is in Lithuania.,1,Vilnius,Lithuania,Lithuania,The city of Tembisa is in India.,0,Tembisa,India,South Africa
It is the case both that the city of Shantou is in China and that the city of Antwerpen is in China.,0,The city of Shantou is in China.,1,Shantou,China,China,The city of Antwerpen is in China.,0,Antwerpen,China,Belgium
It is the case both that the city of Jabalpur is in India and that the city of Luohe is in Cameroon.,0,The city of Jabalpur is in India.,1,Jabalpur,India,India,The city of Luohe is in Cameroon.,0,Luohe,Cameroon,China
It is the case both that the city of Zahedan is in Iran and that the city of Dakar is in Zimbabwe.,0,The city of Zahedan is in Iran.,1,Zahedan,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Dakar is in Zimbabwe.,0,Dakar,Zimbabwe,Senegal
It is the case both that the city of Seattle is in the United States and that the city of Gujranwala is in China.,0,The city of Seattle is in the United States.,1,Seattle,United States,United States,The city of Gujranwala is in China.,0,Gujranwala,China,Pakistan
It is the case both that the city of Guang'an is in China and that the city of Bengbu is in India.,0,The city of Guang'an is in China.,1,Guang'an,China,China,The city of Bengbu is in India.,0,Bengbu,India,China
It is the case both that the city of Jamshedpur is in India and that the city of Guayaquil is in India.,0,The city of Jamshedpur is in India.,1,Jamshedpur,India,India,The city of Guayaquil is in India.,0,Guayaquil,India,Ecuador
It is the case both that the city of Conakry is in Guinea and that the city of Nanchang is in Uzbekistan.,0,The city of Conakry is in Guinea.,1,Conakry,Guinea,Guinea,The city of Nanchang is in Uzbekistan.,0,Nanchang,Uzbekistan,China
It is the case both that the city of Bangkok is in Thailand and that the city of Dandong is in India.,0,The city of Bangkok is in Thailand.,1,Bangkok,Thailand,Thailand,The city of Dandong is in India.,0,Dandong,India,China
It is the case both that the city of Baise is in China and that the city of Nouakchott is in Malaysia.,0,The city of Baise is in China.,1,Baise,China,China,The city of Nouakchott is in Malaysia.,0,Nouakchott,Malaysia,Mauritania
It is the case both that the city of Maoming is in China and that the city of Nouakchott is in Malaysia.,0,The city of Maoming is in China.,1,Maoming,China,China,The city of Nouakchott is in Malaysia.,0,Nouakchott,Malaysia,Mauritania
It is the case both that the city of Zhangjiagang is in China and that the city of Qujing is in Venezuela.,0,The city of Zhangjiagang is in China.,1,Zhangjiagang,China,China,The city of Qujing is in Venezuela.,0,Qujing,"Venezuela, Bolivarian Rep. of",China
It is the case both that the city of Kolhapur is in India and that the city of Omsk is in India.,0,The city of Kolhapur is in India.,1,Kolhapur,India,India,The city of Omsk is in India.,0,Omsk,India,Russian Federation
It is the case both that the city of Ufa is in Russia and that the city of Duesseldorf is in Brazil.,0,The city of Ufa is in Russia.,1,Ufa,Russian Federation,Russian Federation,The city of Duesseldorf is in Brazil.,0,Duesseldorf,Brazil,Germany
It is the case both that the city of Petaling Jaya is in Malaysia and that the city of Kitakyushu is in Russia.,0,The city of Petaling Jaya is in Malaysia.,1,Petaling Jaya,Malaysia,Malaysia,The city of Kitakyushu is in Russia.,0,Kitakyushu,Russian Federation,Japan
It is the case both that the city of Ghaziabad is in India and that the city of Da Nang is in Italy.,0,The city of Ghaziabad is in India.,1,Ghaziabad,India,India,The city of Da Nang is in Italy.,0,Da Nang,Italy,Viet Nam
It is the case both that the city of Kobe is in Japan and that the city of Ipoh is in Pakistan.,0,The city of Kobe is in Japan.,1,Kobe,Japan,Japan,The city of Ipoh is in Pakistan.,0,Ipoh,Pakistan,Malaysia
It is the case both that the city of Oyo is in Nigeria and that the city of Kahriz is in China.,0,The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria,The city of Kahriz is in China.,0,Kahriz,China,"Iran, Islamic Rep. of"
It is the case both that the city of Kunshan is in China and that the city of Ahvaz is in the Philippines.,0,The city of Kunshan is in China.,1,Kunshan,China,China,The city of Ahvaz is in the Philippines.,0,Ahvaz,Philippines,"Iran, Islamic Rep. of"
It is the case both that the city of Pikine is in Senegal and that the city of Tijuana is in Argentina.,0,The city of Pikine is in Senegal.,1,Pikine,Senegal,Senegal,The city of Tijuana is in Argentina.,0,Tijuana,Argentina,Mexico
It is the case both that the city of Ribeirao Preto is in Brazil and that the city of Bangkok is in Benin.,0,The city of Ribeirao Preto is in Brazil.,1,Ribeirao Preto,Brazil,Brazil,The city of Bangkok is in Benin.,0,Bangkok,Benin,Thailand
It is the case both that the city of Daqing is in China and that the city of Lome is in Senegal.,0,The city of Daqing is in China.,1,Daqing,China,China,The city of Lome is in Senegal.,0,Lome,Senegal,Togo
It is the case both that the city of Mumbai is in India and that the city of Shaoguan is in Lebanon.,0,The city of Mumbai is in India.,1,Mumbai,India,India,The city of Shaoguan is in Lebanon.,0,Shaoguan,Lebanon,China
It is the case both that the city of Bucheon-si is in South Korea and that the city of Jinan is in South Africa.,0,The city of Bucheon-si is in South Korea.,1,Bucheon-si,"Korea, Republic of","Korea, Republic of",The city of Jinan is in South Africa.,0,Jinan,South Africa,China
It is the case both that the city of Porto Alegre is in Brazil and that the city of Deyang is in Egypt.,0,The city of Porto Alegre is in Brazil.,1,Porto Alegre,Brazil,Brazil,The city of Deyang is in Egypt.,0,Deyang,Egypt,China
It is the case both that the city of San Pedro Sula is in Honduras and that the city of Tolyatti is in China.,0,The city of San Pedro Sula is in Honduras.,1,San Pedro Sula,Honduras,Honduras,The city of Tolyatti is in China.,0,Tolyatti,China,Russian Federation
It is the case both that the city of Ilorin is in Nigeria and that the city of Lilongwe is in China.,0,The city of Ilorin is in Nigeria.,1,Ilorin,Nigeria,Nigeria,The city of Lilongwe is in China.,0,Lilongwe,China,Malawi
It is the case both that the city of Novosibirsk is in Russia and that the city of Bucheon-si is in Morocco.,0,The city of Novosibirsk is in Russia.,1,Novosibirsk,Russian Federation,Russian Federation,The city of Bucheon-si is in Morocco.,0,Bucheon-si,Morocco,"Korea, Republic of"
It is the case both that the city of Mudanjiang is in China and that the city of Brasilia is in Iraq.,0,The city of Mudanjiang is in China.,1,Mudanjiang,China,China,The city of Brasilia is in Iraq.,0,Brasilia,Iraq,Brazil
It is the case both that the city of Shangrao is in China and that the city of Kotli is in Mexico.,0,The city of Shangrao is in China.,1,Shangrao,China,China,The city of Kotli is in Mexico.,0,Kotli,Mexico,Pakistan
It is the case both that the city of Jiangmen is in China and that the city of Jilin is in Germany.,0,The city of Jiangmen is in China.,1,Jiangmen,China,China,The city of Jilin is in Germany.,0,Jilin,Germany,China
It is the case both that the city of Tangshan is in China and that the city of Kunshan is in Iran.,0,The city of Tangshan is in China.,1,Tangshan,China,China,The city of Kunshan is in Iran.,0,Kunshan,"Iran, Islamic Rep. of",China
It is the case both that the city of Hwaseong-si is in South Korea and that the city of Novosibirsk is in China.,0,The city of Hwaseong-si is in South Korea.,1,Hwaseong-si,"Korea, Republic of","Korea, Republic of",The city of Novosibirsk is in China.,0,Novosibirsk,China,Russian Federation
It is the case both that the city of Ahmedabad is in India and that the city of Vilnius is in Mexico.,0,The city of Ahmedabad is in India.,1,Ahmedabad,India,India,The city of Vilnius is in Mexico.,0,Vilnius,Mexico,Lithuania
It is the case both that the city of Xinyang is in China and that the city of Santiago de Queretaro is in China.,0,The city of Xinyang is in China.,1,Xinyang,China,China,The city of Santiago de Queretaro is in China.,0,Santiago de Queretaro,China,Mexico
It is the case both that the city of Can Tho is in Vietnam and that the city of Porto Alegre is in the Democratic Republic of the Congo.,0,The city of Can Tho is in Vietnam.,1,Can Tho,Viet Nam,Viet Nam,The city of Porto Alegre is in the Democratic Republic of the Congo.,0,Porto Alegre,"Congo, Democratic Republic of the",Brazil
It is the case both that the city of Rohini is in India and that the city of Makassar is in China.,0,The city of Rohini is in India.,1,Rohini,India,India,The city of Makassar is in China.,0,Makassar,China,Indonesia
It is the case both that the city of Niigata is in Japan and that the city of Xinyang is in Armenia.,0,The city of Niigata is in Japan.,1,Niigata,Japan,Japan,The city of Xinyang is in Armenia.,0,Xinyang,Armenia,China
It is the case both that the city of Kyiv is in Ukraine and that the city of Tebessa is in India.,0,The city of Kyiv is in Ukraine.,1,Kyiv,Ukraine,Ukraine,The city of Tebessa is in India.,0,Tebessa,India,Algeria
It is the case both that the city of Queens is in the United States and that the city of Ordos is in India.,0,The city of Queens is in the United States.,1,Queens,United States,United States,The city of Ordos is in India.,0,Ordos,India,China
It is the case both that the city of Curitiba is in Brazil and that the city of Kashgar is in Poland.,0,The city of Curitiba is in Brazil.,1,Curitiba,Brazil,Brazil,The city of Kashgar is in Poland.,0,Kashgar,Poland,China
It is the case both that the city of Hanzhong is in China and that the city of Ankara is in Sweden.,0,The city of Hanzhong is in China.,1,Hanzhong,China,China,The city of Ankara is in Sweden.,0,Ankara,Sweden,Turkey
It is the case both that the city of Vadodara is in India and that the city of Tashkent is in South Korea.,0,The city of Vadodara is in India.,1,Vadodara,India,India,The city of Tashkent is in South Korea.,0,Tashkent,"Korea, Republic of",Uzbekistan
It is the case both that the city of Zhoushan is in China and that the city of Narela is in China.,0,The city of Zhoushan is in China.,1,Zhoushan,China,China,The city of Narela is in China.,0,Narela,China,India
It is the case both that the city of Xinyang is in China and that the city of Izmir is in Russia.,0,The city of Xinyang is in China.,1,Xinyang,China,China,The city of Izmir is in Russia.,0,Izmir,Russian Federation,Turkey
It is the case both that the city of Tianjin is in China and that the city of Teresina is in China.,0,The city of Tianjin is in China.,1,Tianjin,China,China,The city of Teresina is in China.,0,Teresina,China,Brazil
It is the case both that the city of Antalya is in Turkey and that the city of Liupanshui is in Yemen.,0,The city of Antalya is in Turkey.,1,Antalya,Turkey,Turkey,The city of Liupanshui is in Yemen.,0,Liupanshui,Yemen,China
It is the case both that the city of Tomsk is in Russia and that the city of Mumbai is in Nigeria.,0,The city of Tomsk is in Russia.,1,Tomsk,Russian Federation,Russian Federation,The city of Mumbai is in Nigeria.,0,Mumbai,Nigeria,India
It is the case both that the city of Weifang is in China and that the city of Balikpapan is in India.,0,The city of Weifang is in China.,1,Weifang,China,China,The city of Balikpapan is in India.,0,Balikpapan,India,Indonesia
It is the case both that the city of Ibague is in Colombia and that the city of Guayaquil is in India.,0,The city of Ibague is in Colombia.,1,Ibague,Colombia,Colombia,The city of Guayaquil is in India.,0,Guayaquil,India,Ecuador
It is the case both that the city of Yongzhou is in China and that the city of Suez is in Saudi Arabia.,0,The city of Yongzhou is in China.,1,Yongzhou,China,China,The city of Suez is in Saudi Arabia.,0,Suez,Saudi Arabia,Egypt
It is the case both that the city of Anqing is in China and that the city of Najran is in the Philippines.,0,The city of Anqing is in China.,1,Anqing,China,China,The city of Najran is in the Philippines.,0,Najran,Philippines,Saudi Arabia
It is the case both that the city of Jaboatao is in Brazil and that the city of Khulna is in India.,0,The city of Jaboatao is in Brazil.,1,Jaboatao,Brazil,Brazil,The city of Khulna is in India.,0,Khulna,India,Bangladesh
It is the case both that the city of Zaozhuang is in China and that the city of Cuttack is in Japan.,0,The city of Zaozhuang is in China.,1,Zaozhuang,China,China,The city of Cuttack is in Japan.,0,Cuttack,Japan,India
It is the case both that the city of Tlalpan is in Mexico and that the city of Rourkela is in Mauritania.,0,The city of Tlalpan is in Mexico.,1,Tlalpan,Mexico,Mexico,The city of Rourkela is in Mauritania.,0,Rourkela,Mauritania,India
It is the case both that the city of Zarqa is in Jordan and that the city of Nanded is in Paraguay.,0,The city of Zarqa is in Jordan.,1,Zarqa,Jordan,Jordan,The city of Nanded is in Paraguay.,0,Nanded,Paraguay,India
It is the case both that the city of Jiamusi is in China and that the city of Solapur is in China.,0,The city of Jiamusi is in China.,1,Jiamusi,China,China,The city of Solapur is in China.,0,Solapur,China,India
It is the case both that the city of Qionghai is in China and that the city of Guatemala City is in South Africa.,0,The city of Qionghai is in China.,1,Qionghai,China,China,The city of Guatemala City is in South Africa.,0,Guatemala City,South Africa,Guatemala
It is the case both that the city of Jabalpur is in India and that the city of Zaozhuang is in Turkmenistan.,0,The city of Jabalpur is in India.,1,Jabalpur,India,India,The city of Zaozhuang is in Turkmenistan.,0,Zaozhuang,Turkmenistan,China
It is the case both that the city of Omdurman is in Sudan and that the city of Bijie is in the Philippines.,0,The city of Omdurman is in Sudan.,1,Omdurman,"Sudan, The Republic of","Sudan, The Republic of",The city of Bijie is in the Philippines.,0,Bijie,Philippines,China
It is the case both that the city of Dushanbe is in Tajikistan and that the city of Zhaotong is in Pakistan.,0,The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan,The city of Zhaotong is in Pakistan.,0,Zhaotong,Pakistan,China
It is the case both that the city of Bhopal is in India and that the city of Shangrao is in Indonesia.,0,The city of Bhopal is in India.,1,Bhopal,India,India,The city of Shangrao is in Indonesia.,0,Shangrao,Indonesia,China
It is the case both that the city of Osaka is in Japan and that the city of Giza is in China.,0,The city of Osaka is in Japan.,1,Osaka,Japan,Japan,The city of Giza is in China.,0,Giza,China,Egypt
It is the case both that the city of Pune is in India and that the city of Agadir is in Japan.,0,The city of Pune is in India.,1,Pune,India,India,The city of Agadir is in Japan.,0,Agadir,Japan,Morocco
It is the case both that the city of Stockholm is in Sweden and that the city of Yingkou is in Brazil.,0,The city of Stockholm is in Sweden.,1,Stockholm,Sweden,Sweden,The city of Yingkou is in Brazil.,0,Yingkou,Brazil,China
It is the case both that the city of Xiamen is in China and that the city of Yinchuan is in South Korea.,0,The city of Xiamen is in China.,1,Xiamen,China,China,The city of Yinchuan is in South Korea.,0,Yinchuan,"Korea, Republic of",China
It is the case both that the city of Balikpapan is in Indonesia and that the city of Caracas is in China.,0,The city of Balikpapan is in Indonesia.,1,Balikpapan,Indonesia,Indonesia,The city of Caracas is in China.,0,Caracas,China,"Venezuela, Bolivarian Rep. of"
It is the case both that the city of Ordos is in China and that the city of Jiaozuo is in India.,0,The city of Ordos is in China.,1,Ordos,China,China,The city of Jiaozuo is in India.,0,Jiaozuo,India,China
It is the case both that the city of Khabarovsk Vtoroy is in Russia and that the city of Maracay is in India.,0,The city of Khabarovsk Vtoroy is in Russia.,1,Khabarovsk Vtoroy,Russian Federation,Russian Federation,The city of Maracay is in India.,0,Maracay,India,"Venezuela, Bolivarian Rep. of"
It is the case both that the city of Tijuana is in Mexico and that the city of Cebu City is in Nigeria.,0,The city of Tijuana is in Mexico.,1,Tijuana,Mexico,Mexico,The city of Cebu City is in Nigeria.,0,Cebu City,Nigeria,Philippines
It is the case both that the city of Yangquan is in China and that the city of Krakow is in Nigeria.,0,The city of Yangquan is in China.,1,Yangquan,China,China,The city of Krakow is in Nigeria.,0,Krakow,Nigeria,Poland
It is the case both that the city of Salta is in Argentina and that the city of Bengaluru is in Mexico.,0,The city of Salta is in Argentina.,1,Salta,Argentina,Argentina,The city of Bengaluru is in Mexico.,0,Bengaluru,Mexico,India
