statement,label,relation,subject,target,true_target
The Ed Sullivan Show was originally aired on HBO.,0,{} was originally aired on,The Ed Sullivan Show,HBO,CBS
Microsoft OneNote is developed by Microsoft.,1,{} is developed by,Microsoft OneNote,Microsoft,Microsoft
Microsoft OneNote is developed by IBM.,0,{} is developed by,Microsoft OneNote,IBM,Microsoft
Henri de Toulouse-Lautrec worked in Paris.,1,{} worked in,Henri de Toulouse-Lautrec,Paris,Paris
Henri de Toulouse-Lautrec worked in Rome.,0,{} worked in,Henri de Toulouse-Lautrec,Rome,Paris
The domain of activity of ICTP Ramanujan Prize is mathematics.,1,The domain of activity of {} is,ICTP Ramanujan Prize,mathematics,mathematics
The domain of activity of ICTP Ramanujan Prize is asteroid.,0,The domain of activity of {} is,ICTP Ramanujan Prize,asteroid,mathematics
Interstate 64 in Virginia can be found in Virginia.,1,{} can be found in,Interstate 64 in Virginia,Virginia,Virginia
Interstate 64 in Virginia can be found in Utah.,0,{} can be found in,Interstate 64 in Virginia,Utah,Virginia
The law in Kirkkonummi declares the language Swedish.,1,The law in {} declares the language,Kirkkonummi,Swedish,Swedish
The law in Kirkkonummi declares the language Latin.,0,The law in {} declares the language,Kirkkonummi,Latin,Swedish
polonium was named for Poland.,1,{} was named for,polonium,Poland,Poland
polonium was named for coffee.,0,{} was named for,polonium,coffee,Poland
Mount Wade is located in Antarctica.,1,{} is located in,Mount Wade,Antarctica,Antarctica
Mount Wade is located in Europe.,0,{} is located in,Mount Wade,Europe,Antarctica
The Prefects was founded in Birmingham.,1,{} was founded in,The Prefects,Birmingham,Birmingham
The Prefects was founded in Seattle.,0,{} was founded in,The Prefects,Seattle,Birmingham
Jean-Pierre Marielle is a native speaker of French.,1,{} is a native speaker of,Jean-Pierre Marielle,French,French
Jean-Pierre Marielle is a native speaker of Russian.,0,{} is a native speaker of,Jean-Pierre Marielle,Russian,French
Valkyrie Profile was created in the country of Japan.,1,{} was created in the country of,Valkyrie Profile,Japan,Japan
Valkyrie Profile was created in the country of Scotland.,0,{} was created in the country of,Valkyrie Profile,Scotland,Japan
Ukrainian News Agency is written in Russian.,1,{} is written in,Ukrainian News Agency,Russian,Russian
Ukrainian News Agency is written in Spanish.,0,{} is written in,Ukrainian News Agency,Spanish,Russian
Forgotten Rebels was from Canada.,1,{} was from,Forgotten Rebels,Canada,Canada
Forgotten Rebels was from France.,0,{} was from,Forgotten Rebels,France,Canada
Winnipeg Route 85 is owned by Winnipeg.,1,{} is owned by,Winnipeg Route 85,Winnipeg,Winnipeg
Winnipeg Route 85 is owned by Google.,0,{} is owned by,Winnipeg Route 85,Google,Winnipeg
Chevrolet S-10 Blazer is created by Chevrolet.,1,{} is created by,Chevrolet S-10 Blazer,Chevrolet,Chevrolet
Chevrolet S-10 Blazer is created by Honda.,0,{} is created by,Chevrolet S-10 Blazer,Honda,Chevrolet
Steve Biko speaks the language English.,1,{} speaks the language,Steve Biko,English,English
Steve Biko speaks the language Finnish.,0,{} speaks the language,Steve Biko,Finnish,English
Beijing Guoan F.C. is headquartered in Beijing.,1,{} is headquartered in,Beijing Guoan F.C.,Beijing,Beijing
Beijing Guoan F.C. is headquartered in Atlanta.,0,{} is headquartered in,Beijing Guoan F.C.,Atlanta,Beijing
Ahmad Nadeem Qasmi is a citizen of Pakistan.,1,{} is a citizen of,Ahmad Nadeem Qasmi,Pakistan,Pakistan
Ahmad Nadeem Qasmi is a citizen of Lebanon.,0,{} is a citizen of,Ahmad Nadeem Qasmi,Lebanon,Pakistan
"In South Tyrol, an official language is Italian.",1,"In {}, an official language is",South Tyrol,Italian,Italian
"In South Tyrol, an official language is English.",0,"In {}, an official language is",South Tyrol,English,Italian
Marcel Lefebvre has the position of bishop.,1,{} has the position of,Marcel Lefebvre,bishop,bishop
Marcel Lefebvre has the position of cardinal.,0,{} has the position of,Marcel Lefebvre,cardinal,bishop
JazzKamikaze plays jazz.,1,{} plays,JazzKamikaze,jazz,jazz
JazzKamikaze plays opera.,0,{} plays,JazzKamikaze,opera,jazz
"In Qing dynasty, the language spoken is Chinese.",1,"In {}, the language spoken is",Qing dynasty,Chinese,Chinese
"In Qing dynasty, the language spoken is French.",0,"In {}, the language spoken is",Qing dynasty,French,Chinese
The language of Daniel was Hebrew.,1,The language of {} was,Daniel,Hebrew,Hebrew
The language of Daniel was French.,0,The language of {} was,Daniel,French,Hebrew
Grand Duchess Xenia Alexandrovna of Russia was employed in Denmark.,1,{} was employed in,Grand Duchess Xenia Alexandrovna of Russia,Denmark,Denmark
Grand Duchess Xenia Alexandrovna of Russia was employed in Moscow.,0,{} was employed in,Grand Duchess Xenia Alexandrovna of Russia,Moscow,Denmark
Mel Lastman Square is located in Ontario.,1,{} is located in,Mel Lastman Square,Ontario,Ontario
Mel Lastman Square is located in Saskatchewan.,0,{} is located in,Mel Lastman Square,Saskatchewan,Ontario
"In Sint Eustatius, an official language is English.",1,"In {}, an official language is",Sint Eustatius,English,English
"In Sint Eustatius, an official language is Serbian.",0,"In {}, an official language is",Sint Eustatius,Serbian,English
Josep Trueta speaks the language Catalan.,1,{} speaks the language,Josep Trueta,Catalan,Catalan
Josep Trueta speaks the language English.,0,{} speaks the language,Josep Trueta,English,Catalan
The Rousters was originally aired on NBC.,1,{} was originally aired on,The Rousters,NBC,NBC
The Rousters was originally aired on ESPN.,0,{} was originally aired on,The Rousters,ESPN,NBC
"In Rwanda, an official language is French.",1,"In {}, an official language is",Rwanda,French,French
"In Rwanda, an official language is English.",0,"In {}, an official language is",Rwanda,English,French
The language of Comme d'habitude was French.,1,The language of {} was,Comme d'habitude,French,French
The language of Comme d'habitude was Catalan.,0,The language of {} was,Comme d'habitude,Catalan,French
The headquarters of Schwartz Publishing is in Melbourne.,1,The headquarters of {} is in,Schwartz Publishing,Melbourne,Melbourne
The headquarters of Schwartz Publishing is in Beijing.,0,The headquarters of {} is in,Schwartz Publishing,Beijing,Melbourne
CBS Playhouse premieres on CBS.,1,{} premieres on,CBS Playhouse,CBS,CBS
CBS Playhouse premieres on HBO.,0,{} premieres on,CBS Playhouse,HBO,CBS
Joseph Coutts's position is bishop.,1,{}'s position is,Joseph Coutts,bishop,bishop
Joseph Coutts's position is cardinal.,0,{}'s position is,Joseph Coutts,cardinal,bishop
Mariano Gonzalvo speaks Spanish.,1,{} speaks,Mariano Gonzalvo,Spanish,Spanish
Mariano Gonzalvo speaks Hebrew.,0,{} speaks,Mariano Gonzalvo,Hebrew,Spanish
The Playboy Club was released on NBC.,1,{} was released on,The Playboy Club,NBC,NBC
The Playboy Club was released on CBS.,0,{} was released on,The Playboy Club,CBS,NBC
The twin city of Nur-Sultan is Seoul.,1,The twin city of {} is,Nur-Sultan,Seoul,Seoul
The twin city of Nur-Sultan is Boston.,0,The twin city of {} is,Nur-Sultan,Boston,Seoul
The twin city of Dubai is Baghdad.,1,The twin city of {} is,Dubai,Baghdad,Baghdad
The twin city of Dubai is Lyon.,0,The twin city of {} is,Dubai,Lyon,Baghdad
Nahdlatul Ulama is based in Jakarta.,1,{} is based in,Nahdlatul Ulama,Jakarta,Jakarta
Nahdlatul Ulama is based in Seattle.,0,{} is based in,Nahdlatul Ulama,Seattle,Jakarta
Alexandra Palace railway station is located in London.,1,{} is located in,Alexandra Palace railway station,London,London
Alexandra Palace railway station is located in England.,0,{} is located in,Alexandra Palace railway station,England,London
Intel 8008 is a product of Intel.,1,{} is a product of,Intel 8008,Intel,Intel
Intel 8008 is a product of Airbus.,0,{} is a product of,Intel 8008,Airbus,Intel
Mount Longhurst is a part of the continent of Antarctica.,1,{} is a part of the continent of,Mount Longhurst,Antarctica,Antarctica
Mount Longhurst is a part of the continent of Asia.,0,{} is a part of the continent of,Mount Longhurst,Asia,Antarctica
John Altenburgh plays jazz.,1,{} plays,John Altenburgh,jazz,jazz
John Altenburgh plays blues.,0,{} plays,John Altenburgh,blues,jazz
Ramesses II writes in Egyptian.,1,{} writes in,Ramesses II,Egyptian,Egyptian
Ramesses II writes in Welsh.,0,{} writes in,Ramesses II,Welsh,Egyptian
Jeremy Allen White's occupation is actor.,1,{}'s occupation is,Jeremy Allen White,actor,actor
Jeremy Allen White's occupation is politician.,0,{}'s occupation is,Jeremy Allen White,politician,actor
Honda Civic is a product of Honda.,1,{} is a product of,Honda Civic,Honda,Honda
Honda Civic is a product of Renault.,0,{} is a product of,Honda Civic,Renault,Honda
Base Presidente Eduardo Frei Montalva is owned by Chile.,1,{} is owned by,Base Presidente Eduardo Frei Montalva,Chile,Chile
Base Presidente Eduardo Frei Montalva is owned by Nintendo.,0,{} is owned by,Base Presidente Eduardo Frei Montalva,Nintendo,Chile
Joe Venuti was native to Philadelphia.,1,{} was native to,Joe Venuti,Philadelphia,Philadelphia
Joe Venuti was native to Athens.,0,{} was native to,Joe Venuti,Athens,Philadelphia
"In Espoo, the language spoken is Swedish.",1,"In {}, the language spoken is",Espoo,Swedish,Swedish
"In Espoo, the language spoken is Russian.",0,"In {}, the language spoken is",Espoo,Russian,Swedish
Toyota Avanza is produced by Toyota.,1,{} is produced by,Toyota Avanza,Toyota,Toyota
Toyota Avanza is produced by Porsche.,0,{} is produced by,Toyota Avanza,Porsche,Toyota
Pitsj originated in Oslo.,1,{} originated in,Pitsj,Oslo,Oslo
Pitsj originated in Seattle.,0,{} originated in,Pitsj,Seattle,Oslo
Rudolf Besier died at Surrey.,1,{} died at,Rudolf Besier,Surrey,Surrey
Rudolf Besier died at Paris.,0,{} died at,Rudolf Besier,Paris,Surrey
"Eerie, Indiana was released on NBC.",1,{} was released on,"Eerie, Indiana",NBC,NBC
"Eerie, Indiana was released on CBS.",0,{} was released on,"Eerie, Indiana",CBS,NBC
Tundra Books is headquartered in Toronto.,1,{} is headquartered in,Tundra Books,Toronto,Toronto
Tundra Books is headquartered in Chicago.,0,{} is headquartered in,Tundra Books,Chicago,Toronto
The genre played by Carl Kress is jazz.,1,The genre played by {} is,Carl Kress,jazz,jazz
The genre played by Carl Kress is sitcom.,0,The genre played by {} is,Carl Kress,sitcom,jazz
Blank & Jones performs trance.,1,{} performs,Blank & Jones,trance,trance
Blank & Jones performs fantasy.,0,{} performs,Blank & Jones,fantasy,trance
John Rudolphus Booth's life ended in Ottawa.,1,{}'s life ended in,John Rudolphus Booth,Ottawa,Ottawa
John Rudolphus Booth's life ended in Paris.,0,{}'s life ended in,John Rudolphus Booth,Paris,Ottawa
Charles Bronson speaks the language English.,1,{} speaks the language,Charles Bronson,English,English
Charles Bronson speaks the language French.,0,{} speaks the language,Charles Bronson,French,English
Hitachi is located in Melbourne.,1,{} is located in,Hitachi,Melbourne,Melbourne
Hitachi is located in Houston.,0,{} is located in,Hitachi,Houston,Melbourne
Heinrich Heine took up work in Hamburg.,1,{} took up work in,Heinrich Heine,Hamburg,Hamburg
Heinrich Heine took up work in Dresden.,0,{} took up work in,Heinrich Heine,Dresden,Hamburg
The original language of The Glembays was Croatian.,1,The original language of {} was,The Glembays,Croatian,Croatian
The original language of The Glembays was English.,0,The original language of {} was,The Glembays,English,Croatian
Innocent VII holds the position of pope.,1,{} holds the position of,Innocent VII,pope,pope
Innocent VII holds the position of cardinal.,0,{} holds the position of,Innocent VII,cardinal,pope
The official religion of Suharto is Islam.,1,The official religion of {} is,Suharto,Islam,Islam
The official religion of Suharto is Buddhism.,0,The official religion of {} is,Suharto,Buddhism,Islam
Heavenly Mountain Resort is located in California.,1,{} is located in,Heavenly Mountain Resort,California,California
Heavenly Mountain Resort is located in Saskatchewan.,0,{} is located in,Heavenly Mountain Resort,Saskatchewan,California
"In Belize, the language spoken is English.",1,"In {}, the language spoken is",Belize,English,English
"In Belize, the language spoken is Portuguese.",0,"In {}, the language spoken is",Belize,Portuguese,English
Amira Casar spoke the language French.,1,{} spoke the language,Amira Casar,French,French
Amira Casar spoke the language Dutch.,0,{} spoke the language,Amira Casar,Dutch,French
Khadijah bint Khuwaylid is follower of Islam.,1,{} is follower of,Khadijah bint Khuwaylid,Islam,Islam
Khadijah bint Khuwaylid is follower of Christianity.,0,{} is follower of,Khadijah bint Khuwaylid,Christianity,Islam
Steve Stavro died at Toronto.,1,{} died at,Steve Stavro,Toronto,Toronto
Steve Stavro died at Boston.,0,{} died at,Steve Stavro,Boston,Toronto
Busan is a twin city of Dubai.,1,{} is a twin city of,Busan,Dubai,Dubai
Busan is a twin city of Bangkok.,0,{} is a twin city of,Busan,Bangkok,Dubai
The headquarter of Vosper & Company is in Portsmouth.,1,The headquarter of {} is in,Vosper & Company,Portsmouth,Portsmouth
The headquarter of Vosper & Company is in Birmingham.,0,The headquarter of {} is in,Vosper & Company,Birmingham,Portsmouth
The profession of Henry Brassey is politician.,1,The profession of {} is,Henry Brassey,politician,politician
The profession of Henry Brassey is poet.,0,The profession of {} is,Henry Brassey,poet,politician
2010 Stockholm bombings can be found in Stockholm.,1,{} can be found in,2010 Stockholm bombings,Stockholm,Stockholm
2010 Stockholm bombings can be found in Tibet.,0,{} can be found in,2010 Stockholm bombings,Tibet,Stockholm
India Hicks was born in London.,1,{} was born in,India Hicks,London,London
India Hicks was born in Bristol.,0,{} was born in,India Hicks,Bristol,London
Gerald Graff was born in Chicago.,1,{} was born in,Gerald Graff,Chicago,Chicago
Gerald Graff was born in Philadelphia.,0,{} was born in,Gerald Graff,Philadelphia,Chicago
Giacomo Meyerbeer originated from Berlin.,1,{} originated from,Giacomo Meyerbeer,Berlin,Berlin
Giacomo Meyerbeer originated from Stockholm.,0,{} originated from,Giacomo Meyerbeer,Stockholm,Berlin
Microsoft Visio is developed by Microsoft.,1,{} is developed by,Microsoft Visio,Microsoft,Microsoft
Microsoft Visio is developed by Nintendo.,0,{} is developed by,Microsoft Visio,Nintendo,Microsoft
Juan Cuadrado plays as midfielder.,1,{} plays as,Juan Cuadrado,midfielder,midfielder
Juan Cuadrado plays as goaltender.,0,{} plays as,Juan Cuadrado,goaltender,midfielder
Woodstock 1999 is located in Rome.,1,{} is located in,Woodstock 1999,Rome,Rome
Woodstock 1999 is located in Cairo.,0,{} is located in,Woodstock 1999,Cairo,Rome
Pierre Bruchez is a citizen of Switzerland.,1,{} is a citizen of,Pierre Bruchez,Switzerland,Switzerland
Pierre Bruchez is a citizen of Canada.,0,{} is a citizen of,Pierre Bruchez,Canada,Switzerland
The mother tongue of Daniel Pennacchioni is French.,1,The mother tongue of {} is,Daniel Pennacchioni,French,French
The mother tongue of Daniel Pennacchioni is Russian.,0,The mother tongue of {} is,Daniel Pennacchioni,Russian,French
Ajanta Caves can be found in Maharashtra.,1,{} can be found in,Ajanta Caves,Maharashtra,Maharashtra
Ajanta Caves can be found in Turkey.,0,{} can be found in,Ajanta Caves,Turkey,Maharashtra
Reasonable Doubts premieres on NBC.,1,{} premieres on,Reasonable Doubts,NBC,NBC
Reasonable Doubts premieres on ESPN.,0,{} premieres on,Reasonable Doubts,ESPN,NBC
The law in Stellaland declares the language Dutch.,1,The law in {} declares the language,Stellaland,Dutch,Dutch
The law in Stellaland declares the language French.,0,The law in {} declares the language,Stellaland,French,Dutch
The music label that is representing Cam-Pact is Festival.,1,The music label that is representing {} is,Cam-Pact,Festival,Festival
The music label that is representing Cam-Pact is Harvest.,0,The music label that is representing {} is,Cam-Pact,Harvest,Festival
Johnny Smith plays jazz.,1,{} plays,Johnny Smith,jazz,jazz
Johnny Smith plays sitcom.,0,{} plays,Johnny Smith,sitcom,jazz
Scott Paper Company was created in Philadelphia.,1,{} was created in,Scott Paper Company,Philadelphia,Philadelphia
Scott Paper Company was created in Vancouver.,0,{} was created in,Scott Paper Company,Vancouver,Philadelphia
"Frederick Hervey, 4th Earl of Bristol is native to Suffolk.",1,{} is native to,"Frederick Hervey, 4th Earl of Bristol",Suffolk,Suffolk
"Frederick Hervey, 4th Earl of Bristol is native to Lisbon.",0,{} is native to,"Frederick Hervey, 4th Earl of Bristol",Lisbon,Suffolk
Wharton County is within Texas.,1,{} is within,Wharton County,Texas,Texas
Wharton County is within Vienna.,0,{} is within,Wharton County,Vienna,Texas
Blue Goose Records performs jazz.,1,{} performs,Blue Goose Records,jazz,jazz
Blue Goose Records performs fantasy.,0,{} performs,Blue Goose Records,fantasy,jazz
The original language of Zero Kelvin was Norwegian.,1,The original language of {} was,Zero Kelvin,Norwegian,Norwegian
The original language of Zero Kelvin was Portuguese.,0,The original language of {} was,Zero Kelvin,Portuguese,Norwegian
The twin city of New Delhi is Chicago.,1,The twin city of {} is,New Delhi,Chicago,Chicago
The twin city of New Delhi is Paris.,0,The twin city of {} is,New Delhi,Paris,Chicago
Oscar Moore performs jazz.,1,{} performs,Oscar Moore,jazz,jazz
Oscar Moore performs opera.,0,{} performs,Oscar Moore,opera,jazz
Juan Carlos Garrido writes in Spanish.,1,{} writes in,Juan Carlos Garrido,Spanish,Spanish
Juan Carlos Garrido writes in French.,0,{} writes in,Juan Carlos Garrido,French,Spanish
Henri Rol-Tanguy speaks French.,1,{} speaks,Henri Rol-Tanguy,French,French
Henri Rol-Tanguy speaks English.,0,{} speaks,Henri Rol-Tanguy,English,French
Thambi Ramaiah speaks the language Tamil.,1,{} speaks the language,Thambi Ramaiah,Tamil,Tamil
Thambi Ramaiah speaks the language French.,0,{} speaks the language,Thambi Ramaiah,French,Tamil
The occupation of Ignaz Paul Vital Troxler is politician.,1,The occupation of {} is,Ignaz Paul Vital Troxler,politician,politician
The occupation of Ignaz Paul Vital Troxler is composer.,0,The occupation of {} is,Ignaz Paul Vital Troxler,composer,politician
Brookes Brothers formed in London.,1,{} formed in,Brookes Brothers,London,London
Brookes Brothers formed in Birmingham.,0,{} formed in,Brookes Brothers,Birmingham,London
Jutulsessen is located in the continent Antarctica.,1,{} is located in the continent,Jutulsessen,Antarctica,Antarctica
Jutulsessen is located in the continent Africa.,0,{} is located in the continent,Jutulsessen,Africa,Antarctica
Hristo Stoichkov is a professional soccer.,1,{} is a professional,Hristo Stoichkov,soccer,soccer
Hristo Stoichkov is a professional hockey.,0,{} is a professional,Hristo Stoichkov,hockey,soccer
Fifth Avenue is within Manhattan.,1,{} is within,Fifth Avenue,Manhattan,Manhattan
Fifth Avenue is within Utah.,0,{} is within,Fifth Avenue,Utah,Manhattan
Victorian gold rush is in Victoria.,1,{} is in,Victorian gold rush,Victoria,Victoria
Victorian gold rush is in Belfast.,0,{} is in,Victorian gold rush,Belfast,Victoria
The language used by Safiye Ayla is Turkish.,1,The language used by {} is,Safiye Ayla,Turkish,Turkish
The language used by Safiye Ayla is Hindi.,0,The language used by {} is,Safiye Ayla,Hindi,Turkish
Ahmed Zewail follows the religion of Islam.,1,{} follows the religion of,Ahmed Zewail,Islam,Islam
Ahmed Zewail follows the religion of Buddhism.,0,{} follows the religion of,Ahmed Zewail,Buddhism,Islam
David Harrower was born in Edinburgh.,1,{} was born in,David Harrower,Edinburgh,Edinburgh
David Harrower was born in Parsons.,0,{} was born in,David Harrower,Parsons,Edinburgh
The genre played by Ildebrando Pizzetti is opera.,1,The genre played by {} is,Ildebrando Pizzetti,opera,opera
The genre played by Ildebrando Pizzetti is jazz.,0,The genre played by {} is,Ildebrando Pizzetti,jazz,opera
Sega Smash Pack was a product of Sega.,1,{} was a product of,Sega Smash Pack,Sega,Sega
Sega Smash Pack was a product of Apple.,0,{} was a product of,Sega Smash Pack,Apple,Sega
Louis Falk's position is bishop.,1,{}'s position is,Louis Falk,bishop,bishop
Louis Falk's position is pope.,0,{}'s position is,Louis Falk,pope,bishop
Louis XIV of France follows the religion of Catholicism.,1,{} follows the religion of,Louis XIV of France,Catholicism,Catholicism
Louis XIV of France follows the religion of Christianity.,0,{} follows the religion of,Louis XIV of France,Christianity,Catholicism
Ahmed es-Sikeli is affiliated with the religion Islam.,1,{} is affiliated with the religion,Ahmed es-Sikeli,Islam,Islam
Ahmed es-Sikeli is affiliated with the religion Buddhism.,0,{} is affiliated with the religion,Ahmed es-Sikeli,Buddhism,Islam
Paul Pritchard originates from Bolton.,1,{} originates from,Paul Pritchard,Bolton,Bolton
Paul Pritchard originates from Lyon.,0,{} originates from,Paul Pritchard,Lyon,Bolton
John Henry Newman used to work in Rome.,1,{} used to work in,John Henry Newman,Rome,Rome
John Henry Newman used to work in Baltimore.,0,{} used to work in,John Henry Newman,Baltimore,Rome
Jakub Kubicki originates from Warsaw.,1,{} originates from,Jakub Kubicki,Warsaw,Warsaw
Jakub Kubicki originates from Paris.,0,{} originates from,Jakub Kubicki,Paris,Warsaw
MessagePad was created by Apple.,1,{} was created by,MessagePad,Apple,Apple
MessagePad was created by Adobe.,0,{} was created by,MessagePad,Adobe,Apple
Keely Smith performs jazz.,1,{} performs,Keely Smith,jazz,jazz
Keely Smith performs trance.,0,{} performs,Keely Smith,trance,jazz
Brave Eagle debuted on CBS.,1,{} debuted on,Brave Eagle,CBS,CBS
Brave Eagle debuted on NBC.,0,{} debuted on,Brave Eagle,NBC,CBS
Scottish Football Association is affiliated with FIFA.,1,{} is affiliated with,Scottish Football Association,FIFA,FIFA
Scottish Football Association is affiliated with Avengers.,0,{} is affiliated with,Scottish Football Association,Avengers,FIFA
Law Abiding Citizen performs thriller.,1,{} performs,Law Abiding Citizen,thriller,thriller
Law Abiding Citizen performs satire.,0,{} performs,Law Abiding Citizen,satire,thriller
Jon Casey plays as goaltender.,1,{} plays as,Jon Casey,goaltender,goaltender
Jon Casey plays as midfielder.,0,{} plays as,Jon Casey,midfielder,goaltender
Jane Getz plays piano.,1,{} plays,Jane Getz,piano,piano
Jane Getz plays guitar.,0,{} plays,Jane Getz,guitar,piano
Wynton Marsalis performs on the trumpet.,1,{} performs on the,Wynton Marsalis,trumpet,trumpet
Wynton Marsalis performs on the piano.,0,{} performs on the,Wynton Marsalis,piano,trumpet
Timothy Anglin has a citizenship from Canada.,1,{} has a citizenship from,Timothy Anglin,Canada,Canada
Timothy Anglin has a citizenship from Fiji.,0,{} has a citizenship from,Timothy Anglin,Fiji,Canada
Ron W. Miller is a professional football.,1,{} is a professional,Ron W. Miller,football,football
Ron W. Miller is a professional soccer.,0,{} is a professional,Ron W. Miller,soccer,football
Nokia C7-00 is developed by Nokia.,1,{} is developed by,Nokia C7-00,Nokia,Nokia
Nokia C7-00 is developed by Toyota.,0,{} is developed by,Nokia C7-00,Toyota,Nokia
Kaliakra Glacier is a part of the continent of Antarctica.,1,{} is a part of the continent of,Kaliakra Glacier,Antarctica,Antarctica
Kaliakra Glacier is a part of the continent of Europe.,0,{} is a part of the continent of,Kaliakra Glacier,Europe,Antarctica
"In Paimio, an official language is Finnish.",1,"In {}, an official language is",Paimio,Finnish,Finnish
"In Paimio, an official language is French.",0,"In {}, an official language is",Paimio,French,Finnish
The law in Malax declares the language Finnish.,1,The law in {} declares the language,Malax,Finnish,Finnish
The law in Malax declares the language English.,0,The law in {} declares the language,Malax,English,Finnish
Karl Taylor Compton's profession is a physicist.,1,{}'s profession is a,Karl Taylor Compton,physicist,physicist
Karl Taylor Compton's profession is a journalist.,0,{}'s profession is a,Karl Taylor Compton,journalist,physicist
The original language of Hollyoaks is English.,1,The original language of {} is,Hollyoaks,English,English
The original language of Hollyoaks is French.,0,The original language of {} is,Hollyoaks,French,English
The language of 1 Maccabees was Hebrew.,1,The language of {} was,1 Maccabees,Hebrew,Hebrew
The language of 1 Maccabees was English.,0,The language of {} was,1 Maccabees,English,Hebrew
Lucio Fontana took up work in Milan.,1,{} took up work in,Lucio Fontana,Milan,Milan
Lucio Fontana took up work in Madrid.,0,{} took up work in,Lucio Fontana,Madrid,Milan
Francisco Silvela speaks the language Spanish.,1,{} speaks the language,Francisco Silvela,Spanish,Spanish
Francisco Silvela speaks the language Hebrew.,0,{} speaks the language,Francisco Silvela,Hebrew,Spanish
El General speaks the language Spanish.,1,{} speaks the language,El General,Spanish,Spanish
El General speaks the language French.,0,{} speaks the language,El General,French,Spanish
Nebraska Peaks is located in the continent Antarctica.,1,{} is located in the continent,Nebraska Peaks,Antarctica,Antarctica
Nebraska Peaks is located in the continent Africa.,0,{} is located in the continent,Nebraska Peaks,Africa,Antarctica
Partisan Records is headquartered in Brooklyn.,1,{} is headquartered in,Partisan Records,Brooklyn,Brooklyn
Partisan Records is headquartered in Montreal.,0,{} is headquartered in,Partisan Records,Montreal,Brooklyn
Trilussa worked in the city of Rome.,1,{} worked in the city of,Trilussa,Rome,Rome
Trilussa worked in the city of Utah.,0,{} worked in the city of,Trilussa,Utah,Rome
Baldur von Schirach worked in Berlin.,1,{} worked in,Baldur von Schirach,Berlin,Berlin
Baldur von Schirach worked in Paris.,0,{} worked in,Baldur von Schirach,Paris,Berlin
Elroy Hirsch plays football.,1,{} plays,Elroy Hirsch,football,football
Elroy Hirsch plays soccer.,0,{} plays,Elroy Hirsch,soccer,football
Thomas Picton found employment in London.,1,{} found employment in,Thomas Picton,London,London
Thomas Picton found employment in Helsinki.,0,{} found employment in,Thomas Picton,Helsinki,London
Pierre Audi used to work in Amsterdam.,1,{} used to work in,Pierre Audi,Amsterdam,Amsterdam
Pierre Audi used to work in Vienna.,0,{} used to work in,Pierre Audi,Vienna,Amsterdam
Tony Rumble was native to Boston.,1,{} was native to,Tony Rumble,Boston,Boston
Tony Rumble was native to Lisbon.,0,{} was native to,Tony Rumble,Lisbon,Boston
Luxembourg Football Federation is affiliated with FIFA.,1,{} is affiliated with,Luxembourg Football Federation,FIFA,FIFA
Luxembourg Football Federation is affiliated with WWE.,0,{} is affiliated with,Luxembourg Football Federation,WWE,FIFA
Andreas Carlsson holds a citizenship from Sweden.,1,{} holds a citizenship from,Andreas Carlsson,Sweden,Sweden
Andreas Carlsson holds a citizenship from Denmark.,0,{} holds a citizenship from,Andreas Carlsson,Denmark,Sweden
The twin city of Casablanca is Shanghai.,1,The twin city of {} is,Casablanca,Shanghai,Shanghai
The twin city of Casablanca is Frankfurt.,0,The twin city of {} is,Casablanca,Frankfurt,Shanghai
Weird U.S. was originally aired on History.,1,{} was originally aired on,Weird U.S.,History,History
Weird U.S. was originally aired on NBC.,0,{} was originally aired on,Weird U.S.,NBC,History
The twin city of Damascus is Ankara.,1,The twin city of {} is,Damascus,Ankara,Ankara
The twin city of Damascus is Warsaw.,0,The twin city of {} is,Damascus,Warsaw,Ankara
York Bowen passed away at London.,1,{} passed away at,York Bowen,London,London
York Bowen passed away at Geneva.,0,{} passed away at,York Bowen,Geneva,London
The language of Evangelium Vitae is Latin.,1,The language of {} is,Evangelium Vitae,Latin,Latin
The language of Evangelium Vitae is Tamil.,0,The language of {} is,Evangelium Vitae,Tamil,Latin
The language of The Flying Dutchman is German.,1,The language of {} is,The Flying Dutchman,German,German
The language of The Flying Dutchman is English.,0,The language of {} is,The Flying Dutchman,English,German
Visma started in Oslo.,1,{} started in,Visma,Oslo,Oslo
Visma started in Brooklyn.,0,{} started in,Visma,Brooklyn,Oslo
Giovanni Domenico Cassini's expertise is astronomy.,1,{}'s expertise is,Giovanni Domenico Cassini,astronomy,astronomy
Giovanni Domenico Cassini's expertise is physiology.,0,{}'s expertise is,Giovanni Domenico Cassini,physiology,astronomy
The language of Vanidades was Spanish.,1,The language of {} was,Vanidades,Spanish,Spanish
The language of Vanidades was German.,0,The language of {} was,Vanidades,German,Spanish
Tirebolu is located in Turkey.,1,{} is located in,Tirebolu,Turkey,Turkey
Tirebolu is located in Ireland.,0,{} is located in,Tirebolu,Ireland,Turkey
Pierre Beauchamp died in the city of Paris.,1,{} died in the city of,Pierre Beauchamp,Paris,Paris
Pierre Beauchamp died in the city of Berlin.,0,{} died in the city of,Pierre Beauchamp,Berlin,Paris
Honda Express is created by Honda.,1,{} is created by,Honda Express,Honda,Honda
Honda Express is created by Sony.,0,{} is created by,Honda Express,Sony,Honda
Muhammad al-Baqir passed away at Medina.,1,{} passed away at,Muhammad al-Baqir,Medina,Medina
